Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,7/1/2023 17:41,FALSE,Walking,0.84,122,0:34:05,105,115,91,245,40:27:00,10:23,--,--,0.44,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,34:05.4,1,0,--,--,--,--,--,0:23:14,0:34:05,--,--
Walking,6/30/2023 15:32,FALSE,Walking,0.5,57,0:12:50,129,134,95,236,25:46:00,9:45,--,--,0.66,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,12:49.7,1,0,--,--,--,--,--,0:11:09,0:12:50,"1,033","1,039"
Treadmill Running,6/30/2023 15:19,FALSE,Benchmark Run,0.98,76,0:09:00,173,190,170,177,9:13,8:17,--,--,1.02,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,02:00.0,3,0,--,--,--,--,--,0:08:52,0:09:00,--,--
Walking,6/30/2023 15:05,FALSE,Walking,0.5,53,0:13:21,112,120,106,132,26:32:00,17:58,--,--,0.57,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,13:20.6,1,0,--,--,--,--,--,0:12:06,0:13:21,--,--
Cycling,6/30/2023 9:47,FALSE,Comal County Cycling,1.38,79,0:11:10,148,170,--,--,7.4,11.4,23,23,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,11:10.2,1,0,--,--,--,--,--,0:10:52,0:11:10,"1,010","1,031"
Cardio,6/27/2023 21:54,FALSE,Cardio,0,117,0:19:25,137,178,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,19:24.7,1,0,--,--,--,--,--,0:00:00,0:19:25,948,948
Walking,6/27/2023 20:44,FALSE,Walking,1.26,119,0:25:59,109,121,117,249,20:35,9:51,--,--,0.67,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,05:35.6,2,0,--,--,--,--,--,0:23:17,0:25:59,--,--
Walking,6/26/2023 17:58,FALSE,Walking,0.4,52,0:12:05,122,137,89,125,30:10:00,18:25,--,--,0.6,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,12:05.2,1,0,--,--,--,--,--,0:07:57,0:12:05,--,--
Treadmill Running,6/26/2023 17:42,FALSE,Treadmill Running,1.54,102,0:14:36,146,183,169,179,9:29,8:26,--,--,0.99,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,04:52.6,2,0,--,--,--,--,--,0:14:35,0:14:36,--,--
Indoor Running,6/24/2023 21:13,FALSE,Indoor Running,1.03,85,0:11:31,152,182,169,179,11:12,8:11,--,--,0.85,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:16.1,2,0,--,--,--,--,--,0:10:51,0:11:31,--,--
Walking,6/21/2023 10:35,FALSE,San Mateo Walking,0.98,75,0:22:12,99,119,87,128,22:34,16:09,7,--,0.82,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,22:11.7,1,0,--,--,--,--,--,0:19:32,0:22:12,20,35
Walking,6/20/2023 10:07,FALSE,Burlingame Walking,1.01,74,0:21:41,106,117,88,152,21:35,17:25,95,20,0.84,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:06.9,2,0,--,--,--,--,--,0:20:32,0:21:41,118,133
Walking,6/20/2023 9:35,FALSE,San Mateo Walking,1.04,77,0:21:18,113,129,97,229,20:30,16:55,13,--,0.81,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:49.1,2,0,--,--,--,--,--,0:20:28,0:21:18,26,43
Walking,6/19/2023 13:30,FALSE,San Francisco Walking,0.4,62,0:22:45,93,119,30,158,56:42:00,3:13,108,69,0.94,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,22:44.6,1,0,--,--,--,--,--,0:09:19,0:22:45,205,310
Walking,6/19/2023 12:44,FALSE,San Francisco Walking,1.02,107,0:39:52,87,113,30,142,38:56:00,2:40,161,390,1.37,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:03.3,2,0,--,--,--,--,--,0:18:18,0:39:52,208,369
Walking,6/19/2023 11:41,FALSE,San Francisco Walking,0.62,65,0:29:57,80,102,39,132,48:15:00,11:41,161,--,0.86,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,29:57.3,1,0,--,--,--,--,--,0:11:59,0:29:57,56,120
Walking,6/18/2023 18:51,FALSE,San Mateo Walking,2.87,252,1:13:21,114,142,75,253,25:31:00,15:27,256,249,0.85,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,19:27.3,3,0,--,--,--,--,--,0:54:52,1:13:21,12,102
Walking,6/17/2023 19:05,FALSE,San Mateo Walking,1.36,101,0:31:30,106,122,83,145,23:07,18:04,13,13,0.85,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,08:38.8,2,0,--,--,--,--,--,0:29:14,0:31:30,9,33
Walking,6/17/2023 12:24,FALSE,Burlingame Walking,1.01,77,0:23:03,118,128,76,141,22:53,14:59,--,20,0.93,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:10.8,2,0,--,--,--,--,--,0:22:02,0:23:03,13,39
Strength Training,6/16/2023 23:35,FALSE,Strength,0,66,0:17:22,117,137,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,193,10,0:00,0,0:00,No,17:21.6,1,0,--,--,--,--,--,0:13:36,0:17:37,--,--
Pilates,6/16/2023 23:16,FALSE,Pilates,0,53,0:15:49,108,145,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,6,1,0:00,0,0:00,No,15:49.5,1,0,0,0,0,71,98,0:15:49,0:15:57,--,--
Walking,6/16/2023 16:31,FALSE,San Mateo Walking,0.78,57,0:15:36,106,128,69,160,20:06,13:04,10,144,1.16,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,15:36.4,1,0,--,--,--,--,--,0:14:26,0:15:36,-74,-49
Walking,6/16/2023 13:10,FALSE,Burlingame Walking,0.95,75,0:19:02,125,135,93,248,19:57,11:35,--,7,0.87,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,19:02.3,1,0,--,--,--,--,--,0:17:44,0:19:02,20,33
Walking,6/15/2023 16:15,FALSE,San Mateo Walking,0.4,36,09:53.5,109,121,32,138,24:36:00,14:31,33,--,2.02,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,09:53.5,1,0,--,--,--,--,--,0:07:24,09:53.5,16,49
Walking,6/15/2023 13:19,FALSE,San Mateo Walking,1.14,89,0:19:34,129,171,78,176,17:10,9:59,13,7,1.21,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,02:56.0,2,0,--,--,--,--,--,0:18:48,0:19:34,11,36
Cardio,6/14/2023 22:00,FALSE,Cardio,0,78,0:15:05,124,145,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,15:04.8,1,0,--,--,--,--,--,0:00:00,0:15:05,14,14
Pilates,6/14/2023 11:25,FALSE,Pilates,0,156,0:40:56,116,137,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,5,1,0:00,0,0:00,No,40:56.0,1,0,69,30,99,6,99,0:40:56,0:40:56,--,--
Cardio,6/13/2023 23:45,FALSE,Cardio,0,91,0:13:16,144,175,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,13:16.4,1,0,--,--,--,--,--,0:00:00,0:13:16,56,56
Walking,6/12/2023 13:23,FALSE,San Mateo Walking,1.04,72,0:18:25,123,137,96,127,17:43,14:22,16,13,0.94,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:44.3,2,0,--,--,--,--,--,0:18:25,0:18:25,9,31
Running,6/11/2023 17:47,FALSE,San Mateo Running,5.05,436,0:50:15,178,195,172,192,9:57,7:12,89,82,0.94,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:29.3,6,0,--,--,--,--,--,0:49:38,0:50:15,12,59
